	e8.5	e8.5	e8.5	e8.5	e8.5	e8.5
FOXC1_MOUSE.H11MO.0.C	5.217318130180448e-3	5.217318130180448e-3	5.217318130180448e-3	5.217318130180448e-3	5.217318130180448e-3	5.217318130180448e-3
FOXC2_MOUSE.H11MO.0.D	5.806370177136366e-3	5.806370177136366e-3	5.806370177136366e-3	5.806370177136366e-3	5.806370177136366e-3	5.806370177136366e-3
FOXD1_MOUSE.H11MO.0.D	5.091092691547061e-3	5.091092691547061e-3	5.091092691547061e-3	5.091092691547061e-3	5.091092691547061e-3	5.091092691547061e-3
FOXD3_MOUSE.H11MO.0.C	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4	9.256532166449505e-4
FOXF1_MOUSE.H11MO.0.D	4.7124163756468995e-3	4.7124163756468995e-3	4.7124163756468995e-3	4.7124163756468995e-3	4.7124163756468995e-3	4.7124163756468995e-3
FOXF2_MOUSE.H11MO.0.D	4.417890352168996e-3	4.417890352168996e-3	4.417890352168996e-3	4.417890352168996e-3	4.417890352168996e-3	4.417890352168996e-3
FOXI1_MOUSE.H11MO.0.B	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5	4.2075146211129066e-5
FOXJ2_MOUSE.H11MO.0.C	3.071485673412755e-3	3.071485673412755e-3	3.071485673412755e-3	3.071485673412755e-3	3.071485673412755e-3	3.071485673412755e-3
FOXJ3_MOUSE.H11MO.0.A	5.217318130180448e-3	5.217318130180448e-3	5.217318130180448e-3	5.217318130180448e-3	5.217318130180448e-3	5.217318130180448e-3
FOXJ3_MOUSE.H11MO.1.B	4.838641814280287e-3	4.838641814280287e-3	4.838641814280287e-3	4.838641814280287e-3	4.838641814280287e-3	4.838641814280287e-3
FOXK1_MOUSE.H11MO.0.A	2.1037573105566754e-3	2.1037573105566754e-3	2.1037573105566754e-3	2.1037573105566754e-3	2.1037573105566754e-3	2.1037573105566754e-3
FOXL2_MOUSE.H11MO.0.C	5.049017545335932e-3	5.049017545335932e-3	5.049017545335932e-3	5.049017545335932e-3	5.049017545335932e-3	5.049017545335932e-3
FOXM1_MOUSE.H11MO.0.B	1.0518786552783377e-3	1.0518786552783377e-3	1.0518786552783377e-3	1.0518786552783377e-3	1.0518786552783377e-3	1.0518786552783377e-3
FOXO1_MOUSE.H11MO.0.A	2.0196070181344172e-3	2.0196070181344172e-3	2.0196070181344172e-3	2.0196070181344172e-3	2.0196070181344172e-3	2.0196070181344172e-3
FOXO3_MOUSE.H11MO.0.B	3.3660116968906584e-3	3.3660116968906584e-3	3.3660116968906584e-3	3.3660116968906584e-3	3.3660116968906584e-3	3.3660116968906584e-3
FOXO4_MOUSE.H11MO.0.C	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3	3.3239365506795293e-3
FOXP2_MOUSE.H11MO.0.A	3.5763874279463037e-3	3.5763874279463037e-3	3.5763874279463037e-3	3.5763874279463037e-3	3.5763874279463037e-3	3.5763874279463037e-3
FOXP3_MOUSE.H11MO.0.D	4.7124163756468995e-3	4.7124163756468995e-3	4.7124163756468995e-3	4.7124163756468995e-3	4.7124163756468995e-3	4.7124163756468995e-3
FOXQ1_MOUSE.H11MO.0.C	6.984474271048091e-3	6.984474271048091e-3	6.984474271048091e-3	6.984474271048091e-3	6.984474271048091e-3	6.984474271048091e-3
