	e9.5	e9.5	e9.5	e9.5	e9.5
FOSB_MOUSE.H11MO.0.A	1.8337856671313268e-4	1.8337856671313268e-4	1.8337856671313268e-4	1.8337856671313268e-4	1.8337856671313268e-4
FOSL1_MOUSE.H11MO.0.A	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4
FOSL2_MOUSE.H11MO.0.A	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4
FOXA1_MOUSE.H11MO.0.A	1.2102985403066313e-3	1.2102985403066313e-3	1.2102985403066313e-3	1.2102985403066313e-3	1.2102985403066313e-3
FOXA2_MOUSE.H11MO.0.A	1.9071370938165133e-3	1.9071370938165133e-3	1.9071370938165133e-3	1.9071370938165133e-3	1.9071370938165133e-3
FOXA3_MOUSE.H11MO.0.A	1.2836499669918178e-3	1.2836499669918178e-3	1.2836499669918178e-3	1.2836499669918178e-3	1.2836499669918178e-3
FOXC1_MOUSE.H11MO.0.C	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3
FOXC2_MOUSE.H11MO.0.D	4.6578155945132815e-3	4.6578155945132815e-3	4.6578155945132815e-3	4.6578155945132815e-3	4.6578155945132815e-3
FOXD1_MOUSE.H11MO.0.D	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3
FOXD3_MOUSE.H11MO.0.C	5.134599867967493e-4	5.134599867967493e-4	5.134599867967493e-4	5.134599867967493e-4	5.134599867967493e-4
FOXF1_MOUSE.H11MO.0.D	2.23721851390013e-3	2.23721851390013e-3	2.23721851390013e-3	2.23721851390013e-3	2.23721851390013e-3
FOXF2_MOUSE.H11MO.0.D	2.347245653927965e-3	2.347245653927965e-3	2.347245653927965e-3	2.347245653927965e-3	2.347245653927965e-3
FOXI1_MOUSE.H11MO.0.B	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4
FOXJ2_MOUSE.H11MO.0.C	1.9071370938165133e-3	1.9071370938165133e-3	1.9071370938165133e-3	1.9071370938165133e-3	1.9071370938165133e-3
FOXJ3_MOUSE.H11MO.0.A	2.4205970806132626e-3	2.4205970806132626e-3	2.4205970806132626e-3	2.4205970806132626e-3	2.4205970806132626e-3
FOXJ3_MOUSE.H11MO.1.B	2.530624220641098e-3	2.530624220641098e-3	2.530624220641098e-3	2.530624220641098e-3	2.530624220641098e-3
FOXK1_MOUSE.H11MO.0.A	1.4670285337049505e-3	1.4670285337049505e-3	1.4670285337049505e-3	1.4670285337049505e-3	1.4670285337049505e-3
FOXL2_MOUSE.H11MO.0.C	2.3105699405853164e-3	2.3105699405853164e-3	2.3105699405853164e-3	2.3105699405853164e-3	2.3105699405853164e-3
FOXM1_MOUSE.H11MO.0.B	5.134599867967493e-4	5.134599867967493e-4	5.134599867967493e-4	5.134599867967493e-4	5.134599867967493e-4
FOXO1_MOUSE.H11MO.0.A	1.3570013936771153e-3	1.3570013936771153e-3	1.3570013936771153e-3	1.3570013936771153e-3	1.3570013936771153e-3
FOXO3_MOUSE.H11MO.0.B	1.7604342404460294e-3	1.7604342404460294e-3	1.7604342404460294e-3	1.7604342404460294e-3	1.7604342404460294e-3
FOXO4_MOUSE.H11MO.0.C	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3
FOXP2_MOUSE.H11MO.0.A	2.4205970806132626e-3	2.4205970806132626e-3	2.4205970806132626e-3	2.4205970806132626e-3	2.4205970806132626e-3
FOXP3_MOUSE.H11MO.0.D	4.621139881170744e-3	4.621139881170744e-3	4.621139881170744e-3	4.621139881170744e-3	4.621139881170744e-3
FOXQ1_MOUSE.H11MO.0.C	1.089268686275946e-2	1.089268686275946e-2	1.089268686275946e-2	1.089268686275946e-2	1.089268686275946e-2
FUBP1_MOUSE.H11MO.0.D	3.22746277415098e-3	3.22746277415098e-3	3.22746277415098e-3	3.22746277415098e-3	3.22746277415098e-3
GABPA_MOUSE.H11MO.0.A	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
GATA1_MOUSE.H11MO.0.A	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4
GATA1_MOUSE.H11MO.1.A	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
GATA2_MOUSE.H11MO.0.A	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
GATA3_MOUSE.H11MO.0.A	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4
GATA4_MOUSE.H11MO.0.A	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
GATA5_MOUSE.H11MO.0.D	1.9071370938165133e-3	1.9071370938165133e-3	1.9071370938165133e-3	1.9071370938165133e-3	1.9071370938165133e-3
GATA6_MOUSE.H11MO.0.A	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
GCM1_MOUSE.H11MO.0.D	4.2543827477444784e-3	4.2543827477444784e-3	4.2543827477444784e-3	4.2543827477444784e-3	4.2543827477444784e-3
GCR_MOUSE.H11MO.0.A	7.335142668525307e-4	7.335142668525307e-4	7.335142668525307e-4	7.335142668525307e-4	7.335142668525307e-4
GCR_MOUSE.H11MO.1.A	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4	4.034328467689141e-4
GFI1_MOUSE.H11MO.0.C	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3
GFI1B_MOUSE.H11MO.0.A	6.601628401672333e-4	6.601628401672333e-4	6.601628401672333e-4	6.601628401672333e-4	6.601628401672333e-4
GLI1_MOUSE.H11MO.0.C	3.6675713342626537e-4	3.6675713342626537e-4	3.6675713342626537e-4	3.6675713342626537e-4	3.6675713342626537e-4
GLI2_MOUSE.H11MO.0.D	2.948727352747016e-2	2.948727352747016e-2	2.948727352747016e-2	2.948727352747016e-2	2.948727352747016e-2
GLI3_MOUSE.H11MO.0.D	3.6675713342626537e-4	3.6675713342626537e-4	3.6675713342626537e-4	3.6675713342626537e-4	3.6675713342626537e-4
GLIS3_MOUSE.H11MO.0.D	3.5208684808919477e-3	3.5208684808919477e-3	3.5208684808919477e-3	3.5208684808919477e-3	3.5208684808919477e-3
GRHL2_MOUSE.H11MO.0.A	1.2836499669918178e-3	1.2836499669918178e-3	1.2836499669918178e-3	1.2836499669918178e-3	1.2836499669918178e-3
HAND1_MOUSE.H11MO.0.C	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
HAND1_MOUSE.H11MO.1.C	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5	7.335142668529748e-5
HBP1_MOUSE.H11MO.0.D	5.904789848162562e-3	5.904789848162562e-3	5.904789848162562e-3	5.904789848162562e-3	5.904789848162562e-3
HEN1_MOUSE.H11MO.0.C	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4	1.100271400278352e-4
HES1_MOUSE.H11MO.0.D	5.134599867967493e-4	5.134599867967493e-4	5.134599867967493e-4	5.134599867967493e-4	5.134599867967493e-4
HESX1_MOUSE.H11MO.0.D	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3	2.4572727939558003e-3
HEY2_MOUSE.H11MO.0.D	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4	2.5672999339831915e-4
HIC1_MOUSE.H11MO.0.C	3.3741656275214638e-3	3.3741656275214638e-3	3.3741656275214638e-3	3.3741656275214638e-3	3.3741656275214638e-3
HIF1A_MOUSE.H11MO.0.C	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3
HINFP_MOUSE.H11MO.0.C	5.978141274847748e-3	5.978141274847748e-3	5.978141274847748e-3	5.978141274847748e-3	5.978141274847748e-3
HLF_MOUSE.H11MO.0.C	4.987897014596898e-3	4.987897014596898e-3	4.987897014596898e-3	4.987897014596898e-3	4.987897014596898e-3
HLTF_MOUSE.H11MO.0.D	5.868114134820468e-4	5.868114134820468e-4	5.868114134820468e-4	5.868114134820468e-4	5.868114134820468e-4
HMGA1_MOUSE.H11MO.0.D	4.767842734541228e-3	4.767842734541228e-3	4.767842734541228e-3	4.767842734541228e-3	4.767842734541228e-3
HMGA2_MOUSE.H11MO.0.D	2.5342917919753516e-2	2.5342917919753516e-2	2.5342917919753516e-2	2.5342917919753516e-2	2.5342917919753516e-2
HNF1A_MOUSE.H11MO.0.A	4.437761314457611e-3	4.437761314457611e-3	4.437761314457611e-3	4.437761314457611e-3	4.437761314457611e-3
HNF1B_MOUSE.H11MO.0.A	4.474437027800149e-3	4.474437027800149e-3	4.474437027800149e-3	4.474437027800149e-3	4.474437027800149e-3
HNF1B_MOUSE.H11MO.1.A	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3	3.9609770410033995e-3
HNF4A_MOUSE.H11MO.0.A	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
HNF4G_MOUSE.H11MO.0.C	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4	2.2005428005578143e-4
HNF6_MOUSE.H11MO.0.A	2.3325753685909167e-2	2.3325753685909167e-2	2.3325753685909167e-2	2.3325753685909167e-2	2.3325753685909167e-2
HSF1_MOUSE.H11MO.0.A	7.701899801950685e-4	7.701899801950685e-4	7.701899801950685e-4	7.701899801950685e-4	7.701899801950685e-4
HSF1_MOUSE.H11MO.1.A	8.802171202230147e-4	8.802171202230147e-4	8.802171202230147e-4	8.802171202230147e-4	8.802171202230147e-4
HSF2_MOUSE.H11MO.0.A	3.5208684808919477e-3	3.5208684808919477e-3	3.5208684808919477e-3	3.5208684808919477e-3	3.5208684808919477e-3
HTF4_MOUSE.H11MO.0.A	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4	1.4670285337048394e-4
HXA10_MOUSE.H11MO.0.C	8.288711215433175e-3	8.288711215433175e-3	8.288711215433175e-3	8.288711215433175e-3	8.288711215433175e-3
